otorinolaringologi,['QQQ&#111;&#116;&#111;&#114;&#105;&#110;&#111;&#108;&#97;&#114;&#105;&#110;&#103;&#111;&#108;&#111;&#103;&#105;', 180000]
ekzistencialism,['QQQ&#101;&#107;&#122;&#105;&#115;&#116;&#101;&#110;&#99;&#105;&#97;&#108;&#105;&#115;&#109;', 150000]
ekzistencialist,['QQQ&#101;&#107;&#122;&#105;&#115;&#116;&#101;&#110;&#99;&#105;&#97;&#108;&#105;&#115;&#116;', 150000]
elektrodinamism,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#100;&#105;&#110;&#97;&#109;&#105;&#115;&#109;', 150000]
elektroprodukto,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#112;&#114;&#111;&#100;&#117;&#107;&#116;&#111;', 150000]
interlingvistik,['QQQ&#105;&#110;&#116;&#101;&#114;&#108;&#105;&#110;&#103;&#118;&#105;&#115;&#116;&#105;&#107;', 150000]
jxajavardanepur,['QQQ&#106;&#120;&#97;&#106;&#97;&#118;&#97;&#114;&#100;&#97;&#110;&#101;&#112;&#117;&#114;', 150000]
pluskvamperfekt,['QQQ&#112;&#108;&#117;&#115;&#107;&#118;&#97;&#109;&#112;&#101;&#114;&#102;&#101;&#107;&#116;', 150000]
prestidigitator,['QQQ&#112;&#114;&#101;&#115;&#116;&#105;&#100;&#105;&#103;&#105;&#116;&#97;&#116;&#111;&#114;', 150000]
sinkrociklotron,['QQQ&#115;&#105;&#110;&#107;&#114;&#111;&#99;&#105;&#107;&#108;&#111;&#116;&#114;&#111;&#110;', 150000]
antropomorfism,['QQQ&#97;&#110;&#116;&#114;&#111;&#112;&#111;&#109;&#111;&#114;&#102;&#105;&#115;&#109;', 140000]
avalokitesxvar,['QQQ&#97;&#118;&#97;&#108;&#111;&#107;&#105;&#116;&#101;&#115;&#120;&#118;&#97;&#114;', 140000]
euxroparlament,['QQQ&#101;&#117;&#120;&#114;&#111;&#112;&#97;&#114;&#108;&#97;&#109;&#101;&#110;&#116;', 140000]
galvanoplastik,['QQQ&#103;&#97;&#108;&#118;&#97;&#110;&#111;&#112;&#108;&#97;&#115;&#116;&#105;&#107;', 140000]
konstantinopol,['QQQ&#107;&#111;&#110;&#115;&#116;&#97;&#110;&#116;&#105;&#110;&#111;&#112;&#111;&#108;', 140000]
kromofotografi,['QQQ&#107;&#114;&#111;&#109;&#111;&#102;&#111;&#116;&#111;&#103;&#114;&#97;&#102;&#105;', 140000]
kromolitografi,['QQQ&#107;&#114;&#111;&#109;&#111;&#108;&#105;&#116;&#111;&#103;&#114;&#97;&#102;&#105;', 140000]
radiofotografi,['QQQ&#114;&#97;&#100;&#105;&#111;&#102;&#111;&#116;&#111;&#103;&#114;&#97;&#102;&#105;', 140000]
administrator,['QQQ&#97;&#100;&#109;&#105;&#110;&#105;&#115;&#116;&#114;&#97;&#116;&#111;&#114;', 130000]
auxtobiografi,['<ruby>事<rt>QQQ&#97;&#117;&#120;&#116;&#111;&#98;&#105;&#111;&#103;&#114;&#97;&#102;&#105;</rt></ruby>', 130000]
ekspresionism,['QQQ&#101;&#107;&#115;&#112;&#114;&#101;&#115;&#105;&#111;&#110;&#105;&#115;&#109;', 130000]
esperantologi,['QQQ&#101;&#115;&#112;&#101;&#114;&#97;&#110;&#116;&#111;&#108;&#111;&#103;&#105;', 130000]
fotolitografi,['QQQ&#102;&#111;&#116;&#111;&#108;&#105;&#116;&#111;&#103;&#114;&#97;&#102;&#105;', 130000]
frekvencometr,['QQQ&#102;&#114;&#101;&#107;&#118;&#101;&#110;&#99;&#111;&#109;&#101;&#116;&#114;', 130000]
galvanoterapi,['QQQ&#103;&#97;&#108;&#118;&#97;&#110;&#111;&#116;&#101;&#114;&#97;&#112;&#105;', 130000]
hejlonggxjang,['QQQ&#104;&#101;&#106;&#108;&#111;&#110;&#103;&#103;&#120;&#106;&#97;&#110;&#103;', 130000]
hidroaeroplan,['QQQ&#104;&#105;&#100;&#114;&#111;&#97;&#101;&#114;&#111;&#112;&#108;&#97;&#110;', 130000]
individualism,['QQQ&#105;&#110;&#100;&#105;&#118;&#105;&#100;&#117;&#97;&#108;&#105;&#115;&#109;', 130000]
individualist,['QQQ&#105;&#110;&#100;&#105;&#118;&#105;&#100;&#117;&#97;&#108;&#105;&#115;&#116;', 130000]
infrastruktur,['QQQ&#105;&#110;&#102;&#114;&#97;&#115;&#116;&#114;&#117;&#107;&#116;&#117;&#114;', 130000]
interferometr,['QQQ&#105;&#110;&#116;&#101;&#114;&#102;&#101;&#114;&#111;&#109;&#101;&#116;&#114;', 130000]
interlingvist,['QQQ&#105;&#110;&#116;&#101;&#114;&#108;&#105;&#110;&#103;&#118;&#105;&#115;&#116;', 130000]
jekaterinburg,['QQQ&#106;&#101;&#107;&#97;&#116;&#101;&#114;&#105;&#110;&#98;&#117;&#114;&#103;', 130000]
kristalografi,['QQQ&#107;&#114;&#105;&#115;&#116;&#97;&#108;&#111;&#103;&#114;&#97;&#102;&#105;', 130000]
lihxtensxtejn,['QQQ&#108;&#105;&#104;&#120;&#116;&#101;&#110;&#115;&#120;&#116;&#101;&#106;&#110;', 130000]
magnetostring,['QQQ&#109;&#97;&#103;&#110;&#101;&#116;&#111;&#115;&#116;&#114;&#105;&#110;&#103;', 130000]
mikroorganism,['QQQ&#109;&#105;&#107;&#114;&#111;&#111;&#114;&#103;&#97;&#110;&#105;&#115;&#109;', 130000]
neuxrokirurgi,['QQQ&#110;&#101;&#117;&#120;&#114;&#111;&#107;&#105;&#114;&#117;&#114;&#103;&#105;', 130000]
nitroglicerin,['QQQ&#110;&#105;&#116;&#114;&#111;&#103;&#108;&#105;&#99;&#101;&#114;&#105;&#110;', 130000]
paralelepiped,['QQQ&#112;&#97;&#114;&#97;&#108;&#101;&#108;&#101;&#112;&#105;&#112;&#101;&#100;', 130000]
perpendikular,['QQQ&#112;&#101;&#114;&#112;&#101;&#110;&#100;&#105;&#107;&#117;&#108;&#97;&#114;', 130000]
provincialism,['QQQ&#112;&#114;&#111;&#118;&#105;&#110;&#99;&#105;&#97;&#108;&#105;&#115;&#109;', 130000]
stratokumulus,['QQQ&#115;&#116;&#114;&#97;&#116;&#111;&#107;&#117;&#109;&#117;&#108;&#117;&#115;', 130000]
teleauxtograf,['QQQ&#116;&#101;&#108;&#101;&#97;&#117;&#120;&#116;&#111;&#103;&#114;&#97;&#102;', 130000]
termoelektron,['QQQ&#116;&#101;&#114;&#109;&#111;&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#110;', 130000]
transformator,['QQQ&#116;&#114;&#97;&#110;&#115;&#102;&#111;&#114;&#109;&#97;&#116;&#111;&#114;', 130000]
administraci,['<ruby>政<rt>QQQ&#97;&#100;&#109;&#105;&#110;&#105;&#115;&#116;&#114;&#97;&#99;&#105;</rt></ruby>', 120000]
ahxasxverosx,['QQQ&#97;&#104;&#120;&#97;&#115;&#120;&#118;&#101;&#114;&#111;&#115;&#120;', 120000]
amplifikator,['QQQ&#97;&#109;&#112;&#108;&#105;&#102;&#105;&#107;&#97;&#116;&#111;&#114;', 120000]
